Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Community Commissions,2011,Plan Ahead,Magda Sayeg,North Brooklyn Public Art Coalition and Open Space Alliance for North Brooklyn,Kent Ave. btwn S 5th St. & S 6th St.,Brooklyn,Fence,Intervention,40.712287,-73.967867,08/31/2011,07/21/2012
Community Commissions,2011,Container Series,Victoria Munro,Council on Arts and Humanities for SI,"Grand Staircase Plaza, St. George Ferry Terminal",Staten Island,Ferry Terminal,Mural,40.644174,-74.07255,08/24/2011,07/24/2012
Special Projects,2011,"Stop, Look, Listen",Conor McGrady and Amy Mahnick,NYC DOT Safety Education & Groundswell Community Mural Project,7th Ave. btwn 63rd St. & 65th St.,Brooklyn,Bridge Wall,Mural,40.635395,-74.013282,08/20/2011,07/20/2012
Special Projects,2011,"React, Respect, Intersect",Yana Dimitrova and Adam Kidder,NYC DOT Safety Education & Groundswell Community Mural Project,Church Ave. & E 5th St.,Brooklyn,Building,Mural,40.64419,-73.975704,08/20/2011,07/20/2012
Community Commissions,2011,ARTfarm (Mural),Oscar Lopez,Architecture for Humanity and Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Mural,40.830544,-73.919445,07/31/2011,06/30/2012
Arterventions,2011,Flaming Cactus,Animus Arts Collective,Figment and Summer Streets,Astor Place Plaza on E 8th Street between Cooper Square and Lafayette Street,Manhattan,Pedestrian Street Light Pole,Intervention,40.729885,-73.991135,07/30/2011,06/30/2012
Arterventions,2011,Figurations,Joan Benefiel,Garment District Alliance,Broadway btwn 34th St. & 42nd St.,Manhattan,Plaza,Sculpture,40.749974,-73.988019,07/14/2011,08/26/2011
Community Commissions,2011,Silver,Christian Marche,Fordham Road BID,Grand Concourse & East Fordham Rd.,Bronx,Sidewalk,Sculpture,40.862453,-73.897125,07/11/2011,06/11/2012
Arterventions,2011,Hymn to Manhattan Bridge,Nick Franglan,Make Music NY,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Performance,40.703161,-73.987882,06/21/2011,06/22/2011
Community Commissions,2011,Intersection,"Mikell Fine Iles, Heidy Garay & Sam Vernon",DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,40.702469,-73.987982,06/20/2011,06/20/2014
Arterventions,2011,Sing for Hope: Pop-Up Pianos,Sing for Hope,Sing for Hope,St. George Ferry Terminal,Staten Island,Plaza,Interactive,40.644174,-74.07255,06/15/2011,07/06/2011
Community Commissions,2011,Transforming Your Transit to Tranquility,Chris Beck and Tanya Albrightsen-Frable,Groundswell Community Mural Project,Tillary St. btwn Adams St. & Cadman Plaza West,Brooklyn,Barrier,Mural,40.696269,-73.99005,06/05/2011,05/05/2012
Special Projects,2011,The Worm,Dong-Ping Wong,The New Museum,235 Bowery,Manhattan,Sidewalk,Interactive,40.722357,-73.993129,05/07/2011,05/07/2011
Arterventions,2011,Intra-Structure + North African Revolution,Aerostatic + vade,DUMBO BID,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Projection,40.703161,-73.987882,05/05/2011,05/12/2011
Arterventions,2011,Bridging Stone Figures,Patrick Singh,West Harlem Arts Fund,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Projection,40.703161,-73.987882,05/05/2011,05/05/2011
Arterventions,2011,The Hop Stop,Andrew Casner and Jesse Sachs,Boerum Hill Association,Bergen St. & Smith St.,Brooklyn,Sidewalk,Intervention,40.686733,-73.990461,04/29/2011,06/17/2011
Barrier Beautification,2011,Teeth and Grooves,Eugenie Tung,"New York Cares, NYC Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,40.697714,-73.965037,04/16/2011,03/16/2012
Barrier Beautification,2011,Bike Stacks,Taliah Lempert,"New York Cares, NYC Mayor's Community Affairs Unit",Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Barrier,Mural,40.697714,-73.965037,04/16/2011,03/16/2012
Barrier Beautification,2011,Reflecting Pond,Corinne Ulmann,"New York Cares, NYC Mayor's Community Affairs Unit",97th St. & Centerville St.,Queens,Barrier,Mural,40.671407,-73.838038,04/16/2011,03/16/2012
Barrier Beautification,2011,Roots/Routes,Julia Whitney Barnes,"New York Cares, NYC Mayor's Community Affairs Unit",W 155th & Harlem River Dr.,Manhattan,Barrier,Mural,40.83039,-73.940049,04/16/2011,03/16/2012
Arterventions,2011,The Andy Monument,Rob Pruitt,Public Art Fund,Broadway & 17th St.,Manhattan,Plaza,Sculpture,40.737213,-73.990337,03/30/2011,10/02/2011
Community Commissions,2011,St. George Doily,Jennifer Cecere,Garibaldi-Meucci Museum,St. George Ferry Terminal,Staten Island,Ferry Terminal,Installation,40.644174,-74.07255,03/19/2011,05/10/2011
Arterventions,2011,Real City,Carl Skelton,NYU Polytechnic,Canal St. & Forsyth St.,Manhattan,Plaza,Projection,40.715291,-73.995088,02/01/2011,05/05/2011
Barrier Beautification,2010,Antimacassars,Jennifer Cecere,"New York Cares, NYC Mayor's Community Affairs Unit",FDR North btwn 33rd St. & 35th St.,Manhattan,Barrier,Mural,40.74319,-73.971895,11/20/2010,10/20/2011
